B_A,iteration,rho0,m_ratio,objective_value,K,E_sym
-16.5625,1,0.1496875,0.6375000000000001,-30000.0,389.1875,36.16875
-15.8625,2,0.1621875,0.7375,-1283.8058730269,294.6875,27.21875
-16.9125,3,0.16843750000000002,0.5875,-20431.68159621415,341.9375,31.69375
-16.2125,4,0.1559375,0.6875,-10575.077510360416,247.4375,40.64375
-16.7375,5,0.1528125,0.6625,-20359.18931174094,271.0625,42.88125
-16.0375,6,0.1653125,0.5625,-30000.0,365.5625,33.93125
-16.3875,7,0.1590625,0.7125,-10298.030134241308,223.8125,29.45625
-15.6875,8,0.14656249999999998,0.6125,-30000.0,318.3125,38.40625
-16.34375,9,0.14734375,0.68125,-10463.328973235071,300.59375,31.134375000000002
-15.643749999999999,10,0.15984375,0.58125,-30000.0,395.09375,40.084375
-16.382957546748273,11,0.15701221763077455,0.6018400050279198,-30000.0,383.0726556918026,33.87513737898212
-16.793533985256275,12,0.15322744498333082,0.7289335008918594,-10413.709171074355,309.6797355719387,41.65201457135245
-16.143000232615123,13,0.15405348954662984,0.7130549939700697,-2114.471918978465,299.4186945448451,31.98267875532226
-16.44823327486079,14,0.16193774344701786,0.6124707969565971,-20388.921793805304,332.04926378456946,29.227477310837234
-16.975409716196854,15,0.15581974627412434,0.698895639963562,-1402.5018546209772,377.48985716813263,28.063719740740456
-16.91582910840706,16,0.16262747842772965,0.6984908092496817,-13956.70553888885,223.51939224925675,40.37931453272728
-15.76895586029974,17,0.1568301212403884,0.6543036700683776,-20378.07962073184,360.36743978734523,28.8114805402937
-16.181891542134316,18,0.15259047829679967,0.6084041478216349,-20657.21956575494,272.69886365695294,42.92512800830927
-15.641699870085858,19,0.14724606987961683,0.608775978410946,-20552.24542817178,278.2247198713979,35.30341119287632
-16.75261424263415,20,0.15664245108953478,0.615990071870572,-30000.0,363.86076499139335,43.78624133562583
-16.93237131438188,21,0.1591665791312616,0.7439598210000358,-1261.6026970107075,294.0685144164107,30.99068282579627
-15.728978201158617,22,0.14546026666563974,0.6894336486255166,-10626.300502226786,228.1881656431037,40.02437319215464
-16.806174689285978,23,0.14794614072870138,0.6311371974685837,-20370.658990923777,380.24398080302575,27.218222675917467
-15.953198252314767,24,0.1459647301561974,0.6763378905537938,-10457.781456105271,315.2526244575915,26.741469739657255
-16.227963102547072,25,0.1687821081552196,0.5671487848120277,-20444.320876495767,312.55822115566355,28.648791713116506
-16.163745624829787,26,0.145002887260501,0.6575850202811208,-10676.277353682613,272.2821810852241,34.51668292609188
-16.867635946163208,27,0.16781909826410496,0.5952681195510376,-10611.667414338563,244.5238506715267,33.5866026986359
-15.856560001371468,28,0.14966165759352598,0.666640000298859,-20379.674849706462,241.91677897375885,41.82984989107251
-15.612693721033137,29,0.1464797391055501,0.6182964361750519,-20602.20333205288,244.60332311690368,41.64763453108169
-15.742908085544306,30,0.14959944605937509,0.5857705289359639,-20625.55312506162,271.6612685960248,35.980292210582434
-16.130118494348043,31,0.14755012671915224,0.6100739575345278,-20405.054124158905,285.8416177617279,31.23448529333935
-16.652501501354838,32,0.15105696949963157,0.7318030093815285,-690.5788806847519,399.6812280758612,28.72189039007008
-15.947884412020354,33,0.1623364920786511,0.7421677217065145,-10357.48825350878,276.96313765324874,38.738454587843016
-16.952687129067534,34,0.16345672357538024,0.682908577654446,-10491.218232964364,262.5745658435345,40.18060990186624
-15.95235432758843,35,0.1470679476479877,0.6018261914281052,-20470.04372773234,288.14502027727787,32.14403890383476
-16.21361633488304,36,0.16457476104493202,0.698090909833696,-1879.3816231425262,301.8262578597434,26.97497545479433
-15.681395572509425,37,0.1676793723231651,0.6322272833902921,-30000.0,374.67963124897926,34.803690171345046
-15.879840512108442,38,0.16616971584982146,0.6012546602962606,-20558.84379054199,281.16390675248886,39.133093835087294
-16.856301338930418,39,0.16076175398748987,0.735004038520148,-875.6322520100018,367.20839058486206,31.94429564585805
-16.85914620626741,40,0.15943339858365302,0.5534062507788843,-31704.996564703357,285.3638672437259,33.87224268975718
-16.83558887991028,41,0.14668505087620295,0.7168370851437854,-10361.360416392168,392.8429641107558,35.61910966567078
-15.835477641114474,42,0.16698958538895328,0.5799094602638254,-30000.0,391.4926358438278,43.2307783368296
-16.809576732028134,43,0.16943000005660466,0.560648700135597,-32648.083209261767,263.00664692372015,39.626954510114516
-16.658628113022004,44,0.16926089110372058,0.6879406788527502,-2617.3673541329426,290.3677460506831,28.390172007001816
-15.836334621333954,45,0.169859699000027,0.7195337838775331,-10343.527558092357,225.41531574746023,32.27224964845625
-16.713610740773568,46,0.16956171030076236,0.6039634107754988,-20559.222599975386,386.3822706183977,32.664947042638246
-15.930190931092934,47,0.1501723152841242,0.7228682193917495,-10473.326440369396,257.6878099207051,40.03913440495721
-16.449112734598497,48,0.16253867082737308,0.6974687190244915,-10460.366682992568,253.09878832417238,38.44544767155133
-15.871484840632812,49,0.15505143872296312,0.584239068960932,-20398.46468937367,276.55838088642247,27.42705222688904
-16.93008195258884,50,0.154141195365117,0.7350194315300818,-1069.7936374573726,308.111344875437,27.71514469391902
