iteration,rho0,B_A,K,m_ratio,E_sym,objective_value,is_best
1,0.16491357467150583,-16.74319129418737,359.3615990515534,0.6693700315892974,34.08040627607929,1000594.7855566277,False
2,0.14749937289545006,-16.357051551247785,275.0709275052751,0.5785733635843882,37.75090366578447,3000000.0,False
3,0.1464102894756775,-15.989201718826445,389.3864620039768,0.5501557531682029,43.860586911312794,3000000.0,False
4,0.16043703774069293,-16.143685575316407,213.3355316865266,0.5546124850082832,35.49346641862517,3000000.0,False
5,0.15499652429288138,-16.934668071500937,396.0397930610358,0.5965542680860609,27.721855178137496,2000494.628532668,False
6,0.1604596502333272,-16.464553212225972,397.830637417483,0.643352578649596,41.49293328058014,3000000.0,False
7,0.1620076884646945,-16.36930104724264,214.5070776592148,0.7384403511369706,36.182859099435156,1000317.4780774639,False
8,0.15463541256349791,-16.9776472468917,255.63893304258616,0.5982050932052024,38.330416986975706,2000372.4847539477,False
9,0.16298123884124288,-15.6,212.0,0.55,26.1,2000340.276776016,False
10,0.16535660594055832,-16.66151868255766,368.3419773622711,0.7135657261529448,42.275036367110374,1000578.1366448244,False
11,0.16513369045862908,-15.694182062654095,218.17032833163418,0.75,26.783268269365905,1000236.9632817904,False
12,0.16628967870852907,-17.0,401.0,0.55,26.1,2000530.541674742,False
13,0.16440167244297707,-15.6,394.29984311973556,0.75,43.61436105568988,1000399.9978723375,False
14,0.15163091726564754,-15.71974554718049,363.62055041818417,0.6438816610446718,29.086463625832003,2000463.5002404153,False
15,0.16461091239416645,-15.6,212.0,0.55,42.37779277025197,3000000.0,False
16,0.16293821710808154,-16.70400872801809,337.0723363527961,0.6843728988273964,30.220990284310094,1000382.6716135103,False
17,0.17,-17.0,348.60672995445304,0.7121002167980213,31.600532174435575,1332.7593703811008,False
18,0.17,-17.0,329.5397056343996,0.75,26.1,622.7158033081682,False
19,0.145,-17.0,212.0,0.7459529789398323,30.3108730805704,1000222.9827831365,False
20,0.17,-17.0,212.0,0.75,34.05776376709875,1000252.7406612091,False
