T,mu,omega,n,susceptibility,converged,phi,Phi1,Phi2
80.0,200.00000000000003,3.9466000000000006,1.0,-0.18367475258457924,1.0,-3.921603957706297,0.0007037231077822162,0.0034405951644102904
81.0,200.00000000000003,3.9466000000000006,1.0,-0.17695359694988033,1.0,-3.921586438964952,0.0007632719237953161,0.003651405305427636
82.0,200.00000000000003,3.9466000000000006,1.0,-0.17055615373105645,1.0,-3.9215668454104287,0.0008264671605621218,0.0038705879000800717
83.0,200.00000000000003,3.9466000000000006,1.0,-0.16446314943858242,1.0,-3.921544986137537,0.00089343998410963,0.004098273937675716
84.0,200.00000000000003,3.9466000000000006,1.0,-0.15865667074918396,1.0,-3.921520657889343,0.0009643223665586498,0.004334591746080117
85.0,200.00000000000003,3.9466000000000006,1.0,-0.15312005382623262,1.0,-3.92149364475914,0.0010392468927495218,0.004579667062664867
86.0,200.00000000000003,3.9466000000000006,1.0,-0.14783778381411167,1.0,-3.9214637177998735,0.0011183466925150317,0.004833623120032312
87.0,200.00000000000003,3.9466000000000006,1.0,-0.14279540346845682,1.0,-3.92143063463755,0.0012017553791673955,0.005096580739690358
88.0,200.00000000000003,3.9466000000000006,1.0,-0.13797942999670876,1.0,-3.9213941390917237,0.0012896069942943554,0.005368658433207606
89.0,200.00000000000003,3.9466000000000006,1.0,-0.1333772792888076,1.0,-3.9213539608010897,0.001382035958940744,0.005649972510411769
90.0,200.00000000000003,3.9466000000000006,1.0,-0.12897719680832725,1.0,-3.9213098148554875,0.0014791770312285921,0.005940637194200414
91.0,200.00000000000003,3.9466000000000006,1.0,-0.12476819449062036,1.0,-3.9212614014334264,0.00158116527045161,0.006240764741558792
92.0,200.00000000000003,3.9466000000000006,1.0,-0.12073999306802627,1.0,-3.9212084054452876,0.001688136007663257,0.006550465570393608
92.99999999999999,200.00000000000003,3.9466000000000006,1.0,-0.11688296930283325,1.0,-3.921150496182574,0.001800224822761246,0.006869848391813217
94.0,200.00000000000003,3.9466000000000006,1.0,-0.11318810766201146,1.0,-3.9210873269714908,0.0019175675280618401,0.007199020347508137
95.0,200.00000000000003,3.9466000000000006,1.0,-0.10964695601845877,1.0,-3.9210185348321707,0.0020403001583420345,0.007538087151900977
96.0,200.00000000000003,3.9466000000000006,1.0,-0.10625158500433383,1.0,-3.920943740141525,0.0021685589673222996,0.007887153238764143
97.0,200.00000000000003,3.9466000000000006,1.0,-0.1029945506819411,1.0,-3.920862546300575,0.002302480430551828,0.008246321912016071
98.0,200.00000000000003,3.9466000000000006,1.0,-0.09986886023005109,1.0,-3.920774539405099,0.0024422012546537392,0.008615695500434832
