T,mu,phi,Phi1,Phi2,mass,pressure,rho,entropy,energy,converged
50.00000000000001,0.0,-3.92172505239019,0.00010067563988748768,0.00010067563988748766,1.5310446410773404,18.273280236851733,-1.5730231952945944e-17,1.4350528632269886e-6,-18.273279873234223,1.0
51.00000000000001,0.0,-3.92172490949783,0.00011577941989900907,0.00011577941989900904,1.5310445862152748,18.273280245197856,3.959875670553869e-18,1.8761506820194275e-6,-18.273279760306128,1.0
52.00000000000001,0.0,-3.921724727745878,0.0001325590224944963,0.00013255902249449634,1.5310445164334647,18.273280256060275,-4.356318203969307e-17,2.4317483066178975e-6,-18.27327961525091,1.0
53.00000000000001,0.0,-3.921724498404461,0.00015113287974916046,0.00015113287974916046,1.5310444283801645,18.2732802700787,-1.5382599997490042e-17,3.126175235570631e-6,-18.273279430432993,1.0
54.0,0.0,-3.9217242111963166,0.00017162235695949562,0.00017162235695949562,1.5310443181095237,18.273280288027095,-1.3992498354686917e-17,3.987775510863408e-6,-18.273279196759283,1.0
55.0,0.0,-3.9217238540979613,0.00019415155645813228,0.00019415155645813228,1.5310441810052489,18.27328031083389,6.863246907546618e-18,5.049370599699705e-6,-18.27327890346865,1.0
56.0,0.0,-3.9217234131279577,0.0002188471197525552,0.0002188471197525552,1.531044011699309,18.273280339605652,1.877003495619956e-17,6.348744617947008e-6,-18.27327853790445,1.0
57.0,0.0,-3.9217228721196116,0.0002458380289255857,0.00024583802892558563,1.5310438039846668,18.273280375654362,-5.694848692185764e-18,7.929156715974246e-6,-18.273278085268043,1.0
58.0,0.0,-3.9217222124801063,0.0002752554083018382,0.00027525540830183816,1.5310435507227997,18.273280420527396,6.639815224393255e-18,9.83988673802694e-6,-18.27327752834967,1.0
59.0,0.0,-3.9217214129364337,0.0003072323273266051,0.0003072323273266051,1.5310432437461534,18.273280476036568,1.24360053317002e-17,1.2136773154615983e-5,-18.27327684724411,1.0
