idx,rho0,B_A,K,m_ratio,E_sym,objective_value,eval_time_s
1,0.1683,-16.77999355,398.995,0.7425,25.839000000000002,346.9174414796046,48.14296007156372
2,0.1683,-16.77999355,398.995,0.7425,26.1,353.3492383330236,1.7350671291351318
3,0.1683,-16.77999355,398.995,0.7425,26.361,359.8203060120446,1.7182810306549072
4,0.1683,-16.77999355,398.995,0.75,25.839000000000002,267.6473830043373,1.7420945167541504
5,0.1683,-16.77999355,398.995,0.75,26.1,272.41578478623234,1.7673325538635254
6,0.1683,-16.77999355,398.995,0.75,26.361,277.22265571176473,1.770458459854126
7,0.1683,-16.77999355,398.995,0.7575,25.839000000000002,201.12314820968652,1.7682592868804932
8,0.1683,-16.77999355,398.995,0.7575,26.1,205.40542405326045,1.7944507598876953
9,0.1683,-16.77999355,398.995,0.7575,26.361,209.76249471609583,1.7756619453430176
10,0.1683,-16.77999355,401.0,0.7425,25.839000000000002,338.14490023162375,1.7199687957763672
11,0.1683,-16.77999355,401.0,0.7425,26.1,344.58287356352366,1.7310476303100586
12,0.1683,-16.77999355,401.0,0.7425,26.361,351.0590096618873,1.7194678783416748
13,0.1683,-16.77999355,401.0,0.75,25.839000000000002,260.40929649115907,1.7472858428955078
14,0.1683,-16.77999355,401.0,0.75,26.1,265.15857672228674,1.7457609176635742
15,0.1683,-16.77999355,401.0,0.75,26.361,269.9470220122463,1.7508978843688965
16,0.1683,-16.77999355,401.0,0.7575,25.839000000000002,194.63121691740247,1.7714331150054932
17,0.1683,-16.77999355,401.0,0.7575,26.1,198.187711259265,1.7791473865509033
18,0.1683,-16.77999355,401.0,0.7575,26.361,202.44914750966663,1.7750463485717773
19,0.1683,-16.77999355,403.005,0.7425,25.839000000000002,329.363733659993,1.7344694137573242
20,0.1683,-16.77999355,403.005,0.7425,26.1,335.8098478507741,1.722977638244629
21,0.1683,-16.77999355,403.005,0.7425,26.361,342.29537410988587,1.812631368637085
22,0.1683,-16.77999355,403.005,0.75,25.839000000000002,253.19705731103448,1.820863962173462
23,0.1683,-16.77999355,403.005,0.75,26.1,257.9267928022132,1.7791178226470947
24,0.1683,-16.77999355,403.005,0.75,26.361,262.69642137245273,1.759298324584961
25,0.1683,-16.77999355,403.005,0.7575,25.839000000000002,188.43359708149023,1.7831761837005615
26,0.1683,-16.77999355,403.005,0.7575,26.1,191.93790391162094,1.7752516269683838
27,0.1683,-16.77999355,403.005,0.7575,26.361,195.47894646363295,1.7931413650512695
28,0.1683,-16.613855,398.995,0.7425,25.839000000000002,356.67229901959723,1.7117576599121094
29,0.1683,-16.613855,398.995,0.7425,26.1,363.2874634920422,1.7161548137664795
30,0.1683,-16.613855,398.995,0.7425,26.361,369.9421966246178,1.703963279724121
31,0.1683,-16.613855,398.995,0.75,25.839000000000002,274.08949875277597,1.7374622821807861
32,0.1683,-16.613855,398.995,0.75,26.1,279.1358117171267,1.7484025955200195
33,0.1683,-16.613855,398.995,0.75,26.361,284.22308079265184,1.745455026626587
34,0.1683,-16.613855,398.995,0.7575,25.839000000000002,205.92961469977047,1.7760674953460693
35,0.1683,-16.613855,398.995,0.7575,26.1,210.32010900946273,1.776820182800293
36,0.1683,-16.613855,398.995,0.7575,26.361,214.8102616594895,1.7702312469482422
37,0.1683,-16.613855,401.0,0.7425,25.839000000000002,347.8387826033675,1.719219446182251
38,0.1683,-16.613855,401.0,0.7425,26.1,354.4637118569515,1.722590446472168
39,0.1683,-16.613855,401.0,0.7425,26.361,361.12922373179094,1.7371466159820557
40,0.1683,-16.613855,401.0,0.75,25.839000000000002,266.7498330844635,1.7918224334716797
41,0.1683,-16.613855,401.0,0.75,26.1,271.63668950138566,1.7581977844238281
42,0.1683,-16.613855,401.0,0.75,26.361,276.56352618786946,1.7567272186279297
43,0.1683,-16.613855,401.0,0.7575,25.839000000000002,199.01239380487345,1.8140716552734375
44,0.1683,-16.613855,401.0,0.7575,26.1,203.02689521343592,1.7860243320465088
45,0.1683,-16.613855,401.0,0.7575,26.361,207.4180882300879,1.7726423740386963
46,0.1683,-16.613855,403.005,0.7425,25.839000000000002,339.00129787665907,1.7289986610412598
47,0.1683,-16.613855,403.005,0.7425,26.1,345.6359045325195,1.7253150939941406
48,0.1683,-16.613855,403.005,0.7425,26.361,352.31213824925965,1.7366902828216553
49,0.1683,-16.613855,403.005,0.75,25.839000000000002,259.4575030454473,1.7539894580841064
50,0.1683,-16.613855,403.005,0.75,26.1,264.3263427694808,1.7549054622650146
51,0.1683,-16.613855,403.005,0.75,26.361,269.23592358341,1.7555902004241943
52,0.1683,-16.613855,403.005,0.7575,25.839000000000002,192.74022660121346,1.809685230255127
53,0.1683,-16.613855,403.005,0.7575,26.1,196.34362483927532,1.791722059249878
54,0.1683,-16.613855,403.005,0.7575,26.361,200.1408477414763,1.7896156311035156
55,0.1683,-16.44771645,398.995,0.7425,25.839000000000002,366.81524044581886,1.746131420135498
56,0.1683,-16.44771645,398.995,0.7425,26.1,373.621307449126,1.7271945476531982
57,0.1683,-16.44771645,398.995,0.7425,26.361,380.4672746093917,1.7295498847961426
58,0.1683,-16.44771645,398.995,0.75,25.839000000000002,281.3857615638337,1.7558977603912354
59,0.1683,-16.44771645,398.995,0.75,26.1,286.57498671575104,1.7507202625274658
60,0.1683,-16.44771645,398.995,0.75,26.361,291.8059112398135,1.7630209922790527
61,0.1683,-16.44771645,398.995,0.7575,25.839000000000002,210.93702010020678,1.7730848789215088
62,0.1683,-16.44771645,398.995,0.7575,26.1,215.44734970723238,1.7722108364105225
63,0.1683,-16.44771645,398.995,0.7575,26.361,220.06934815000116,1.7874093055725098
64,0.1683,-16.44771645,401.0,0.7425,25.839000000000002,357.93895995887146,1.760761022567749
65,0.1683,-16.44771645,401.0,0.7425,26.1,364.7573780827571,1.7182629108428955
66,0.1683,-16.44771645,401.0,0.7425,26.361,371.61737598129247,1.719391107559204
67,0.1683,-16.44771645,401.0,0.75,25.839000000000002,273.42524630654,1.7634987831115723
68,0.1683,-16.44771645,401.0,0.75,26.1,278.5949295851433,1.765542984008789
69,0.1683,-16.44771645,401.0,0.75,26.361,283.8071305587042,1.746861457824707
70,0.1683,-16.44771645,401.0,0.7575,25.839000000000002,203.58580204584294,1.7892818450927734
71,0.1683,-16.44771645,401.0,0.7575,26.1,208.07027836904857,1.8012712001800537
72,0.1683,-16.44771645,401.0,0.7575,26.361,212.59682599857456,1.7802670001983643
73,0.1683,-16.44771645,403.005,0.7425,25.839000000000002,349.04761043447655,1.7268142700195312
74,0.1683,-16.44771645,403.005,0.7425,26.1,355.8795064989956,1.7579491138458252
75,0.1683,-16.44771645,403.005,0.7425,26.361,362.7533387152027,1.7233855724334717
76,0.1683,-16.44771645,403.005,0.75,25.839000000000002,265.977520775926,1.752190113067627
77,0.1683,-16.44771645,403.005,0.75,26.1,270.9912012996852,1.749645471572876
78,0.1683,-16.44771645,403.005,0.75,26.361,276.04648501698875,1.7546632289886475
79,0.1683,-16.44771645,403.005,0.7575,25.839000000000002,197.1982588665489,1.792464256286621
80,0.1683,-16.44771645,403.005,0.7575,26.1,200.90485535893168,1.7975709438323975
81,0.1683,-16.44771645,403.005,0.7575,26.361,205.22000776435343,1.79927396774292
82,0.17,-16.77999355,398.995,0.7425,25.839000000000002,343.95031728853,1.7209479808807373
83,0.17,-16.77999355,398.995,0.7425,26.1,350.52025167888416,1.7204642295837402
84,0.17,-16.77999355,398.995,0.7425,26.361,357.1292921930889,1.7160835266113281
